date,etf,alpha,sector
2002-02-28,XLF,0.007271257523784422,XLF
2002-03-31,XLF,0.009324837950724805,XLF
2002-04-30,XLF,0.008947483347477796,XLF
2002-05-31,XLF,0.006926805067975545,XLF
2002-06-30,XLF,0.004123838243182793,XLF
2002-07-31,XLF,0.0077038608072032295,XLF
2002-08-31,XLF,0.005384224574954464,XLF
2002-09-30,XLF,0.003167753650650496,XLF
2002-10-31,XLF,0.0008037152956864111,XLF
2002-11-30,XLF,0.00314331997059053,XLF
2002-12-31,XLF,-5.4626584077897486e-05,XLF
2003-01-31,XLF,-0.0014684202497487657,XLF
2003-02-28,XLF,0.0004089630504876115,XLF
2003-03-31,XLF,-0.000279730434052646,XLF
2003-04-30,XLF,-0.00103828098775489,XLF
2003-05-31,XLF,0.0033586912988813012,XLF
2003-06-30,XLF,0.0018267106025373963,XLF
2003-07-31,XLF,0.0007497976067377347,XLF
2003-08-31,XLF,0.002103542704346312,XLF
2003-09-30,XLF,0.00038360028917060196,XLF
2003-10-31,XLF,0.0001771304629393823,XLF
2003-11-30,XLF,0.0009602438415002778,XLF
2003-12-31,XLF,0.0013235519684415484,XLF
2004-01-31,XLF,0.0012264739974262584,XLF
2004-02-29,XLF,0.0015959531548912827,XLF
2004-03-31,XLF,0.0016557332565954562,XLF
2004-04-30,XLF,0.0009294880387284397,XLF
2004-05-31,XLF,4.906880167658556e-05,XLF
2004-06-30,XLF,0.0004023990641447688,XLF
2004-07-31,XLF,0.0006273015045877503,XLF
2004-08-31,XLF,0.0002943591186799748,XLF
2004-09-30,XLF,0.0021006976376744084,XLF
2004-10-31,XLF,0.002045299292624072,XLF
2004-11-30,XLF,0.0009435715947652612,XLF
2004-12-31,XLF,0.0032030253296757225,XLF
2005-01-31,XLF,0.0030590463843898534,XLF
2005-02-28,XLF,0.0010080272862695765,XLF
2005-03-31,XLF,0.0020362839656535236,XLF
2005-04-30,XLF,-0.0012030293078450797,XLF
2005-05-31,XLF,0.00019155628247468064,XLF
2005-06-30,XLF,0.0006588873908821634,XLF
2005-07-31,XLF,0.0006708840865314409,XLF
2005-08-31,XLF,-0.004212133847432857,XLF
2005-09-30,XLF,-0.00377325458952319,XLF
2005-10-31,XLF,-0.007294733696227802,XLF
2005-11-30,XLF,-0.005181634988441814,XLF
2005-12-31,XLF,-0.004977624082027833,XLF
2006-01-31,XLF,-0.004691833316208362,XLF
2006-02-28,XLF,-0.007896079092098947,XLF
2006-03-31,XLF,-0.0008295297036655133,XLF
2006-04-30,XLF,-0.0021237192849966097,XLF
2006-05-31,XLF,0.002710738090824295,XLF
2006-06-30,XLF,0.0019023695574104768,XLF
2006-07-31,XLF,0.0013951234543690327,XLF
2006-08-31,XLF,0.001003517434164023,XLF
2006-09-30,XLF,0.00044018992498481846,XLF
2006-10-31,XLF,0.0022009194853722506,XLF
2006-11-30,XLF,0.0026025413095591772,XLF
2006-12-31,XLF,0.0018346720412160803,XLF
2007-01-31,XLF,6.937135949117244e-05,XLF
2007-02-28,XLF,-2.354858110659142e-05,XLF
2007-03-31,XLF,-0.0006703206712391524,XLF
2007-04-30,XLF,-0.0007219100832158633,XLF
2007-05-31,XLF,-0.001413594645806245,XLF
2007-06-30,XLF,-0.001856734426819687,XLF
2007-07-31,XLF,-0.002547451372549483,XLF
2007-08-31,XLF,-0.00539521199537375,XLF
2007-09-30,XLF,-0.002392285189833762,XLF
2007-10-31,XLF,-0.0026911656818334353,XLF
2007-11-30,XLF,-0.00656240706008109,XLF
2007-12-31,XLF,-0.0072843019184078775,XLF
2008-01-31,XLF,-0.008780577974617988,XLF
2008-02-29,XLF,-0.004839327632275363,XLF
2008-03-31,XLF,-0.007840507710325557,XLF
2008-04-30,XLF,-0.00774069017132587,XLF
2008-05-31,XLF,-0.008116299839133164,XLF
2008-06-30,XLF,-0.007149732047625826,XLF
2008-07-31,XLF,-0.008571379207641951,XLF
2008-08-31,XLF,-0.00428892713005688,XLF
2008-09-30,XLF,-0.00547409966406146,XLF
2008-10-31,XLF,-0.006437485859145081,XLF
2008-11-30,XLF,-0.006149600968663247,XLF
2008-12-31,XLF,-0.005924090595398395,XLF
2009-01-31,XLF,-0.001743089806098704,XLF
2009-02-28,XLF,-0.001727347906869122,XLF
2009-03-31,XLF,-0.0017748663868072268,XLF
2009-04-30,XLF,-0.0017546520706248135,XLF
2009-05-31,XLF,0.0007059210268314867,XLF
2009-06-30,XLF,0.004637641061113014,XLF
2009-07-31,XLF,0.006092306988462392,XLF
2009-08-31,XLF,-0.001558904167227466,XLF
2009-09-30,XLF,-0.00547056935444013,XLF
2009-10-31,XLF,-0.005289846261414986,XLF
2009-11-30,XLF,-0.00526647089628038,XLF
2009-12-31,XLF,-0.005675349926588398,XLF
2010-01-31,XLF,-0.00373908743442382,XLF
2010-02-28,XLF,-0.0034517240064574246,XLF
2010-03-31,XLF,-0.0009444864553995978,XLF
2010-04-30,XLF,0.00024167631437162565,XLF
2010-05-31,XLF,6.640320676688446e-05,XLF
2010-06-30,XLF,0.00283169043323565,XLF
2010-07-31,XLF,0.005749637405356844,XLF
2010-08-31,XLF,0.005788391798539563,XLF
2010-09-30,XLF,0.003867151401483823,XLF
2010-10-31,XLF,0.005184700883061385,XLF
2010-11-30,XLF,0.005209634243818546,XLF
2010-12-31,XLF,0.005452849411110464,XLF
2011-01-31,XLF,0.0074255028736,XLF
2011-02-28,XLF,0.008393943512633449,XLF
2011-03-31,XLF,0.007100721530857431,XLF
2011-04-30,XLF,0.008482687458103284,XLF
2011-05-31,XLF,0.004778087786047824,XLF
2011-06-30,XLF,-0.0034294228220892817,XLF
2011-07-31,XLF,-0.0016907071491076286,XLF
2011-08-31,XLF,-0.0009967749786954807,XLF
2011-09-30,XLF,-0.003848550537248539,XLF
2011-10-31,XLF,-0.004488171960344413,XLF
2011-11-30,XLF,-0.002335017042777228,XLF
2011-12-31,XLF,-0.0021142691547758833,XLF
2012-01-31,XLF,-0.0009514443067201086,XLF
2012-02-29,XLF,-0.00046900528943836974,XLF
2012-03-31,XLF,0.0004509874118023005,XLF
